Category,Name,SKU,Price
Misc,Registry Analog Clock,86995,59.95
Le Labo,Shower Gel,80862,50.00
Le Labo,Body Bar,80867,30.00
Le Labo,Shampoo,80865,50.00
Le Labo,Conditioner,80864,50.00
Le Labo,Body Oil,80866,65.00
Le Labo,Body Lotion,80863,65.00
Le Labo,Travel Kit,93832,75.00
Bedding,Duvet - Queen,76058,210.00
Bedding,Duvet - King,76058,260.00
Bedding,Pillow - Queen - Firm,76066,79.00
Bedding ,Pillow - Queen - Firm - Feather ,76052,79.00
Bedding,Pillow - King - Firm - Gel,76065,89.00
Bedding,Pillow - King - Firm - Feather,76051,89.00
Bathroom,Bathrobe - Black,65585,165.00
Bathroom,Bathrobe - White,65584,165.00
Bathroom,Waffle Robe,87012,79.00
Souvenir Rack,Travel mug - starry night,85880,14.95
Strainers,Fancy Handle Strainer,83727,8.99
Misc,Tea Spoons Silver,18990,24.95
Lilliana ,Soap - Hotel image,90777,8.95
Lilliana ,Coaster - Teacup,90673,13.95
Lilliana,Coaster - Hotel Image,90778,13.95
Note Cards,Pink Teapots,88372,16.95
Note Cards,Teacups Mini,9799,16.95
Note Cards,Teapot Quilt,88370,16.95
Note Cards,Teapot Glitter,88378,19.95
Lilliana,Sashet Teacup,90674,13.95
Lilliana,Sachet - Hotel Image,90776,13.95
Misc,Tongs Sugar,61254,5.25
Misc,Spoon Honey,23304,11.95
Misc,Sugar Tongs,42120,11.95
Misc,Book clip,42121,9.95
Misc,Pâté Smoked Salmon,42091,6.99
Misc,Smoked Sockeye Salmon,54576,18.99
Misc,Maple Pink Salmon,90292,13.99
Misc,Salmon Ice Wine Glaze,44883,13.99
Misc,Sweet Memories - Milk Chocolate,42150,5.95
Misc,Take A Hike - Milk Chocolate,42132,5.95
Misc,Almond Avalanche - Dark Chocolate,42164,5.95
Misc,Unforgettable Delight - Dark Chocolate,42155,5.95
Lilliana,Note Card - Teacup,90676,6.25
Shop,Black Reusable Bag - Small,00000,1.00
Shop,Black Reusable Bag - Large,00001,1.00
Shop,Plastic Bags - Small,00003,0.00
Shop,Plastic Bags - Medium,00004,0.00
Shop,Plastic Bags - Large,00005,0.00
Postcard Factory,Postcards - Strip,78116,3.95
Misc,Shot glass - Empress B/W,85891,6.98
Bathroom,Slipper - White,40775,14.95
Bathroom ,Slipper - Black,45558,14.95
Infusers,Spoon Infuser,52036,4.99
Infusers,Spoon Infuser,52036,4.99
Food,Strawberry Jam (250ml),19942,10.95
Food,Water - Dasani,37661,3.25
Infusers,Manatea - Infuser,88403,12.95
